caseid,windows_cached,rows_used
1323,81,81
1325,267,267
1335,257,257
1339,92,92
1346,262,262
1350,280,280
1376,78,78
1396,260,260
1397,281,281
1407,424,424
1432,212,212
1444,33,33
1454,343,343
1468,283,283
1469,271,271
1473,188,188
1475,277,277
1478,174,174
1482,246,246
1485,354,354
1488,38,38
1489,245,245
1512,300,300
1520,261,261
1521,343,343
1523,435,435
1536,84,84
1542,163,163
1553,90,90
1558,228,228
1562,131,131
1566,147,147
1574,176,176
1597,259,259
1602,356,356
1615,201,201
1630,182,182
1633,70,70
1641,240,240
1642,156,156
1648,208,208
1652,220,220
1656,69,69
1657,276,276
1672,229,229
1673,83,83
1674,219,219
1676,110,110
1681,124,124
1688,136,136
1700,204,204
1706,240,240
1710,238,238
1716,247,247
1726,260,260
1735,135,135
1749,151,151
1754,149,149
1765,197,197
1771,94,94
1773,115,115
1784,127,127
1802,195,195
1803,642,642
1804,137,137
1805,86,86
1826,107,107
1836,76,76
1846,45,45
1852,166,166
1855,227,227
1865,64,64
1866,84,84
1891,274,274
1896,210,210
1897,241,241
1898,149,149
1912,456,456
1935,239,239
1936,425,425
1938,292,292
1941,386,386
1942,90,90
1949,94,94
1957,107,107
1969,103,103
1973,204,204
1988,149,149
2000,120,120
2010,142,142
2014,177,177
2028,388,388
2040,116,116
2044,170,170
2057,111,111
2072,125,125
2082,178,178
2106,241,241
2114,127,127
2121,130,130
2128,87,87
2139,91,91
2157,88,88
2161,330,330
2174,106,106
2202,152,152
2221,61,61
2222,146,146
2224,52,52
2225,266,266
2229,69,69
2231,177,177
2248,94,94
2249,188,188
2265,130,130
2273,257,257
2282,55,55
2304,276,276
2307,277,277
2309,49,49
2311,191,191
2325,303,303
2335,165,165
2336,407,407
2344,180,180
2352,315,315
2353,208,208
2356,287,287
2357,181,181
2359,217,217
2372,157,157
2375,328,328
2380,169,169
2392,208,208
2425,143,143
2433,492,492
2434,117,117
2436,140,140
2443,434,434
2458,305,305
2460,104,104
2472,81,81
2480,216,216
2493,83,83
2495,171,171
2497,249,249
2504,419,419
2507,189,189
2508,265,265
2511,43,43
2542,58,58
2566,198,198
2578,350,350
2583,53,53
2585,52,52
2589,136,136
2593,189,189
2594,116,116
2597,111,111
2602,50,50
2609,203,203
2613,112,112
2618,229,229
2628,292,292
2631,93,93
2637,91,91
2641,160,160
2648,278,278
2654,240,240
2662,330,330
2667,246,246
2690,61,61
2699,189,189
2716,122,122
2720,112,112
2724,170,170
2732,77,77
2733,59,59
2735,125,125
2746,23,23
2751,333,333
2765,154,154
2766,261,261
2769,218,218
2778,344,344
2779,93,93
2781,334,334
2788,53,53
2839,12,12
2845,175,175
2849,189,189
2850,179,179
2858,315,315
2860,326,326
2895,90,90
2906,24,24
2911,367,367
2914,170,170
2922,97,97
2930,167,167
2935,221,221
2943,184,184
2952,310,310
2958,145,145
2966,53,53
2971,242,242
2972,201,201
2974,179,179
2998,62,62
3000,96,96
3015,29,29
3020,177,177
3024,294,294
3028,177,177
3034,195,195
3037,297,297
3047,60,60
3050,95,95
3058,461,461
3080,75,75
3085,62,62
3088,44,44
3090,117,117
3093,363,363
3094,266,266
3096,91,91
3098,183,183
3103,210,210
3107,186,186
3122,136,136
3125,243,243
3126,80,80
3130,187,187
3145,308,308
3148,430,430
3149,190,190
3150,18,18
3159,62,62
3170,117,117
3176,47,47
3189,217,217
3193,483,483
3196,269,269
3207,25,25
3223,234,234
3232,159,159
3235,97,97
3255,133,133
3258,102,102
3267,259,259
3275,121,121
3279,201,201
3287,418,418
3296,97,97
3299,55,55
3300,293,293
3310,306,306
3317,237,237
3325,229,229
3328,132,132
3329,168,168
3330,249,249
3348,275,275
3363,173,173
3364,139,139
3385,105,105
3391,62,62
3394,185,185
3407,28,28
3413,38,38
3418,167,167
3426,136,136
3438,59,59
3447,142,142
3449,78,78
3458,92,92
3462,185,185
3475,180,180
3476,48,48
3478,246,246
3488,198,198
3501,106,106
3503,150,150
3505,232,232
3516,286,286
3521,477,477
3529,63,63
3533,184,184
3537,207,207
3545,155,155
3546,184,184
3550,333,333
3555,243,243
3562,230,230
3565,82,82
3566,239,239
3571,246,246
3572,427,427
3573,187,187
3576,228,228
3578,47,47
3602,206,206
3614,53,53
3618,184,184
3652,209,209
3658,249,249
3663,98,98
3686,52,52
3700,199,199
3706,104,104
3710,288,288
3724,128,128
3752,288,288
3753,388,388
3757,35,35
3761,129,129
3763,228,228
3785,406,406
3791,225,225
3799,50,50
3814,182,182
3819,144,144
3825,150,150
3828,167,167
3842,318,318
3844,382,382
3846,318,318
3849,37,37
3850,146,146
3863,124,124
3870,341,341
3878,167,167
3879,198,198
3889,241,241
3890,324,324
3895,255,255
3902,173,173
3904,310,310
3925,112,112
3935,107,107
3950,256,256
3962,269,269
3967,174,174
3971,83,83
3972,162,162
3973,335,335
3975,213,213
3991,354,354
3994,493,493
4012,52,52
4013,181,181
4020,134,134
4021,177,177
4022,99,99
4024,154,154
4027,212,212
4033,188,188
4036,215,215
4040,212,212
4042,156,156
4048,66,66
4060,252,252
4098,270,270
4120,30,30
4133,128,128
4140,19,19
4149,73,73
4150,374,374
4172,156,156
4175,353,353
4179,349,349
4183,14,14
4187,12,12
4201,131,131
4202,100,100
4207,269,269
4214,305,305
4233,306,306
4236,193,193
4245,277,277
4252,161,161
4259,228,228
4265,66,66
4279,33,33
4281,63,63
4287,78,78
4289,134,134
4294,175,175
4299,224,224
4302,253,253
4305,186,186
4310,329,329
4333,96,96
4341,418,418
4350,24,24
4352,78,78
4356,235,235
4362,88,88
4371,222,222
4382,100,100
4383,197,197
4386,257,257
4388,128,128
4389,168,168
4400,161,161
4409,197,197
4425,78,78
4449,87,87
4472,129,129
4475,312,312
4476,305,305
4478,184,184
4480,77,77
4485,86,86
4498,190,190
4513,290,290
4515,230,230
4522,108,108
4527,153,153
4538,97,97
4540,337,337
4547,16,16
4549,240,240
4558,470,470
4559,106,106
4569,53,53
4576,311,311
4597,177,177
4599,242,242
4604,374,374
4609,362,362
4612,304,304
4617,161,161
4620,93,93
4621,286,286
4632,134,134
4644,377,377
4650,222,222
4658,144,144
4660,148,148
4662,111,111
4665,255,255
4666,116,116
4673,84,84
4695,99,99
4703,15,15
4718,125,125
4743,70,70
4744,217,217
4746,116,116
4780,178,178
4781,186,186
4789,95,95
4808,124,124
4809,155,155
4820,220,220
4834,67,67
4837,102,102
4851,320,320
4857,102,102
4858,189,189
4871,303,303
4879,65,65
4883,198,198
4897,136,136
4903,96,96
4904,64,64
4913,136,136
4914,61,61
4929,94,94
4932,295,295
4933,59,59
4936,41,41
4941,99,99
4946,68,68
4951,293,293
4953,344,344
4957,230,230
4966,222,222
4982,132,132
4987,310,310
4997,290,290
4999,106,106
5004,347,347
5019,16,16
5029,97,97
5033,168,168
5035,273,273
5045,137,137
5059,271,271
5079,158,158
5084,174,174
5090,39,39
5091,258,258
5092,79,79
5093,159,159
5099,103,103
5106,399,399
5107,196,196
5109,324,324
5111,147,147
5112,144,144
5127,281,281
5135,354,354
5140,236,236
5141,53,53
5142,80,80
5153,257,257
5162,174,174
5182,157,157
5200,243,243
5222,141,141
5226,35,35
5251,79,79
5258,291,291
5259,183,183
5278,145,145
5283,122,122
5290,272,272
5295,206,206
5296,108,108
5299,72,72
5311,266,266
5317,277,277
5319,419,419
5323,197,197
5327,26,26
5328,465,465
5346,139,139
5349,298,298
5350,59,59
5360,354,354
5403,292,292
5404,174,174
5411,46,46
5422,56,56
5425,265,265
5428,263,263
5453,85,85
5460,49,49
5463,161,161
5464,125,125
5467,234,234
5472,307,307
5480,245,245
5508,220,220
5509,177,177
5517,65,65
5519,198,198
5520,130,130
5534,571,571
5536,118,118
5546,63,63
5552,232,232
5556,91,91
5574,321,321
5578,209,209
5585,84,84
5595,338,338
5602,193,193
5613,146,146
5614,76,76
5617,124,124
5621,364,364
5624,149,149
5626,193,193
5635,58,58
5657,141,141
5669,151,151
5670,250,250
5671,225,225
5675,50,50
5684,277,277
5690,100,100
5694,275,275
5715,98,98
5722,84,84
5724,349,349
5729,335,335
5750,282,282
5772,238,238
5774,210,210
5777,236,236
5778,94,94
5780,522,522
5787,438,438
5808,166,166
5809,370,370
5816,266,266
5825,206,206
5831,162,162
5840,336,336
5842,226,226
5848,92,92
5853,14,14
5859,260,260
5870,301,301
5872,428,428
5882,39,39
5888,58,58
5898,222,222
5912,145,145
5914,231,231
5917,120,120
5921,271,271
5928,160,160
5936,300,300
5937,307,307
5940,73,73
5946,199,199
5951,72,72
5964,276,276
5966,233,233
5971,40,40
5973,201,201
5977,118,118
6015,79,79
6017,91,91
6022,185,185
6027,64,64
6029,67,67
6031,138,138
6032,106,106
6037,226,226
6042,106,106
6059,179,179
6071,279,279
6074,326,326
6077,171,171
6089,148,148
6102,93,93
6104,163,163
6114,279,279
6119,268,268
6121,424,424
6126,203,203
6133,159,159
6135,51,51
6147,250,250
6160,429,429
6163,74,74
6180,59,59
6182,296,296
6185,183,183
6186,151,151
6194,183,183
6196,73,73
6199,107,107
6200,183,183
6210,51,51
6228,123,123
6235,26,26
6238,202,202
6257,26,26
6262,61,61
6264,201,201
6275,243,243
6277,33,33
6280,156,156
6281,141,141
6293,66,66
6295,171,171
6296,158,158
6305,200,200
6330,136,136
6345,92,92
6351,308,308
6355,211,211
6378,304,304
6383,343,343
